text,severity,risk_type,industry,source,is_augmented,split
Worker pouring concrete on building's roof was struck and killed by lightning.,Fatal,Unspecified,Unspecified,OSHA,False,train
"During the execution of the area cleaning activity using a hoe, the staff member hit against a fixed metal structure in the area, coming to reach the abdomen on the left.",Minor,Others,Metals,IHM_Stefanini,True,train
"At the offices of Incimmet, in circumstances that an environment was being set up to place cleaning materials, a wooden strip was placed between the staircase structure and the container, this strip was not cut to size, so the accident victim He coordinated with his partner to put it under pressure using a hammer as holding with his right hand the frame, this pressure placed strip pushed to that side of the container creating an opening between the corrugated iron and the wall, at that time, continuing to hit the ribbon, This falls causing the wall of the container to return to its initial position, pressing the tip of the little finger of the right hand against the corrugated iron causing the accident.",Minor,Others,Mining,IHM_Stefanini,True,train
Worker electrocuted while troubleshooting fountain pump.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker was struck and killed by a tree during wild fire containment operations.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker fatally crushed when generator slipped from crane sling.,Fatal,Unspecified,Unspecified,OSHA,False,train
Worker killed in fuel cell explosion.,Fatal,Unspecified,Unspecified,OSHA,False,train
"In moments that the truck of transport of personnel of the company MCEISA plate AJG-751, moved from the Nv 3300 to surface, missing 50m to reach the mouth of the Nv 3900, the gearbox does not respond so the driver stops the truck to inspect it along with maintenance personnel who At that time I was traveling in the truck. They raise the cabin to manually put the change in first and continue the trip, culminated this task the driver with the support of the maintenance personnel lower the cabin which owing to the weight falls hitting the driver between the cabin and the hopper of the truck. At the time of the accident the employee was wearing his safety helmet and chin strap.",Minor,Others,Mining,IHM_Stefanini,True,train
"The worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener D2251. the dismantling of the base of the scaffold, located about one meter high from the floor of the sump, the rivets of the anchor support of the platform were broken, causing the fall of the worker and impacting the right knee with the support that I am anchored in one of the horizontals of the scaffolding structure.",Minor,Fall prevention (same level),Metals,IHM_Stefanini,True,train
Worker walking on an elevated catwalk died when he fell nearly 12 feet through an unsecured access door.,Fatal,Unspecified,Unspecified,OSHA,False,train
